run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,01373154,2024-07-31,html,,2024-07-31,01373154,NBC Group Limited,False,54.0,2023-08-01,2024-07-31,,,,,,,,,,,,,13731079.0,,7564860.0,6166219.0,4428690.0,,3095031.0,,,1516036.0,1677593.0,412652.0,1264941.0,,,254279.24074074073
Prod223_3873,01373154,2024-07-31,html,,2024-07-31,01373154,NBC Group Limited,False,54.0,2022-08-01,2023-07-31,,,,,,,,,,,,,15000188.0,,8508722.0,6491466.0,4474316.0,,3069498.0,,,1734149.0,1760418.0,338234.0,1422184.0,,,277781.25925925927
Prod223_3873,03342431,2024-04-30,html,,2024-04-30,03342431,Specialist Training Consultants Ltd,False,3.0,2022-05-01,2023-04-30,,,,,,,,,,,,,330958.0,1159.0,,,,126379.0,69681.0,,,,83251.0,9902.0,73349.0,,,110319.33333333333
Prod223_3873,03554289,2024-04-30,html,,2024-04-30,03554289,SCOMAC SERVICES LTD,False,54.0,2023-05-01,2024-04-30,,,,,,,,,,,,,18392746.0,,12596082.0,5796664.0,3192907.0,,3375294.0,,,2604348.0,2658385.0,665411.0,1992974.0,,,340606.4074074074
Prod223_3873,03554289,2024-04-30,html,,2024-04-30,03554289,SCOMAC SERVICES LTD,False,54.0,2022-05-01,2023-04-30,,,,,,,,,,,,,36158363.0,,25051554.0,11106809.0,2835152.0,,2830465.0,,,8262606.0,8295061.0,1595202.0,6699859.0,,,669599.3148148148
Prod223_3873,03964089,2024-04-30,html,,2024-04-30,03964089,EXTERNAL FUNDING MATTERS LIMITED,False,1.0,2023-05-01,2024-04-30,,,,,,,,,,,,,115018.0,,,,,8194.0,27231.0,36.0,7959.0,,,15165.0,56433.0,,,115018.0
Prod223_3873,04204136,2024-05-31,html,,2024-05-31,04204136,LITTLEWOOD FENCING LIMITED,False,190.0,2023-06-01,2024-05-31,,,,,,,,,,,,,47686126.0,,36990528.0,10695598.0,8922989.0,,11558438.0,,,,1704747.0,396420.0,1308327.0,,,250979.61052631578
Prod223_3873,04204136,2024-05-31,html,,2024-05-31,04204136,LITTLEWOOD FENCING LIMITED,False,190.0,2022-06-01,2023-05-31,,,,,,,,,,,,,30518012.0,,22835665.0,7682347.0,6451864.0,,14838240.0,,,,1216022.0,203498.0,1012524.0,,,160621.1157894737
Prod223_3873,05882056,2024-07-31,html,,2024-07-31,05882056,Mosaic Island Ltd,False,33.0,2023-08-01,2024-07-31,,,,,,,,,,,,,16249369.0,,13543193.0,2706176.0,1685244.0,,3840784.0,15023.0,,,1021257.0,256826.0,764431.0,,,492405.1212121212
Prod223_3873,05882056,2024-07-31,html,,2024-07-31,05882056,Mosaic Island Ltd,False,33.0,2022-08-01,2023-07-31,,,,,,,,,,,,,16870940.0,,14336303.0,2534637.0,1628941.0,,3698362.0,16903.0,,,901983.0,188491.0,713492.0,,,511240.6060606061
