run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,03554289,2024-04-30,html,,2024-04-30,03554289,SCOMAC SERVICES LTD,False,54.0,2023-05-01,2024-04-30,,,,,,,,,,,,,18392746.0,,12596082.0,5796664.0,3192907.0,,3375294.0,,,2604348.0,2658385.0,665411.0,1992974.0,,,340606.4074074074
Prod223_3873,03554289,2024-04-30,html,,2024-04-30,03554289,SCOMAC SERVICES LTD,False,54.0,2022-05-01,2023-04-30,,,,,,,,,,,,,36158363.0,,25051554.0,11106809.0,2835152.0,,2830465.0,,,8262606.0,8295061.0,1595202.0,6699859.0,,,669599.3148148148
Prod223_3873,04204136,2024-05-31,html,,2024-05-31,04204136,LITTLEWOOD FENCING LIMITED,False,190.0,2023-06-01,2024-05-31,,,,,,,,,,,,,47686126.0,,36990528.0,10695598.0,8922989.0,,11558438.0,,,,1704747.0,396420.0,1308327.0,,,250979.61052631578
Prod223_3873,05882056,2024-07-31,html,,2024-07-31,05882056,Mosaic Island Ltd,False,33.0,2023-08-01,2024-07-31,,,,,,,,,,,,,16249369.0,,13543193.0,2706176.0,1685244.0,,3840784.0,15023.0,,,1021257.0,256826.0,764431.0,,,492405.1212121212
Prod223_3873,05882056,2024-07-31,html,,2024-07-31,05882056,Mosaic Island Ltd,False,33.0,2022-08-01,2023-07-31,,,,,,,,,,,,,16870940.0,,14336303.0,2534637.0,1628941.0,,3698362.0,16903.0,,,901983.0,188491.0,713492.0,,,511240.6060606061
Prod223_3873,06760533,2024-06-30,html,,2024-06-30,06760533,Avtel (UK) Limited,False,31.0,2023-07-01,2024-06-30,,,,,,,,,,,,,11716887.0,,8951392.0,2765495.0,1739304.0,,2706388.0,,,632341.0,,,458116.0,,,377964.0967741936
Prod223_3873,08474057,2024-04-30,html,,2024-04-30,08474057,WEMSFEST COMMUNITY INTEREST COMPANY,False,0.0,2023-05-01,2024-04-30,,,,,,,,,,,,,81949.0,0.0,80090.0,1859.0,0.0,,,,,1859.0,1859.0,0.0,,,,
Prod223_3873,10339116,2024-08-31,html,,2024-08-31,10339116,Design & Development Engineering Limited,False,2.0,2022-09-01,2023-08-31,,,,,,,,,,,,,490459.0,,328543.0,161916.0,82878.0,321050.0,,,,,79044.0,5203.0,73841.0,,,245229.5
Prod223_3873,11205231,2024-03-31,html,,2024-03-31,11205231,SUKI SHOCKER INTERIOR DESIGN LTD,False,1.0,2022-04-01,2023-03-31,,,,,,,,,,,,,153308.0,,46057.0,107251.0,21505.0,,,,,85746.0,85707.0,16284.0,69423.0,,,153308.0
Prod223_3873,11839787,2024-03-31,html,,2024-03-31,11839787,C LIGHT WINDOWS LTD,False,4.0,2023-04-01,2024-03-31,,,,,,,,,,,,,378764.0,,312159.0,66605.0,52389.0,,,,,14216.0,14216.0,2701.0,11515.0,,,94691.0
Prod223_3873,11839787,2024-03-31,html,,2024-03-31,11839787,C LIGHT WINDOWS LTD,False,4.0,2022-04-01,2023-03-31,,,,,,,,,,,,,353944.0,,290414.0,63530.0,59609.0,,,,,3921.0,3857.0,733.0,3124.0,,,88486.0
Prod223_3873,11873574,2024-03-31,html,,2024-03-31,11873574,WHALEY BRIDGE CANAL GROUP CIC,False,4.0,2022-04-01,2023-03-31,,,,,,,,,,,,,41959.0,,,41959.0,5874.0,,,,,36085.0,36085.0,,,,,10489.75
Prod223_3873,12002354,2024-05-31,html,,2024-05-31,12002354,DAMP KNIGHT COMEDY LTD,False,5.0,2023-06-01,2024-05-31,,,,,,,,,,,,,543.0,,0.0,543.0,0.0,,,,,230.0,230.0,0.0,230.0,,,108.6
Prod223_3873,12002354,2024-05-31,html,,2024-05-31,12002354,DAMP KNIGHT COMEDY LTD,False,5.0,2022-06-01,2023-05-31,,,,,,,,,,,,,1408.0,,0.0,1408.0,0.0,,,,,661.0,661.0,0.0,661.0,,,281.6
Prod223_3873,12571739,2024-04-30,html,,2024-04-30,12571739,ACTIVE PEOPLE NETWORK CIC,False,15.0,2022-05-01,2023-04-30,,,,,,,,,,,,,7020.0,,6345.0,675.0,175.0,,,,,19.0,19.0,3.0,,,,468.0
