run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,00036148,2024-07-31,html,,2024-07-31,00036148,Walsall Business Support Limited,False,4.0,2024-07-31,2024-07-31,,690.0,29386.0,30076.0,,,24265.0,2266083.0,2194597.0,,,214458.0,,,,,,,,,,,,,,,,
Prod223_3873,00036148,2024-07-31,html,,2024-07-31,00036148,Walsall Business Support Limited,False,4.0,2023-07-31,2023-07-31,,0.0,861331.0,861331.0,,,856050.0,2193957.0,2178717.0,,,64970.0,,,,,,,,,,,,,,,,
Prod223_3873,00153538,2024-10-14,html,,2024-10-14,00153538,MALDEN BOWLING GREEN COMPANY LIMITED(THE),False,0.0,2024-10-14,2024-10-14,21898.0,,,996.0,,,996.0,22894.0,22894.0,,,22894.0,,,,,,,,,,,,,,,,
Prod223_3873,00153538,2024-10-14,html,,2024-10-14,00153538,MALDEN BOWLING GREEN COMPANY LIMITED(THE),False,0.0,2023-10-14,2023-10-14,21898.0,,,1035.0,,,959.0,22857.0,22857.0,,,22857.0,,,,,,,,,,,,,,,,
Prod223_3873,00303601,2024-04-30,html,,2024-04-30,00303601,W.G. Ross & Company Limited,False,16.0,2024-04-30,2024-04-30,157499.0,324104.0,21333.0,345437.0,,,297610.0,455109.0,441807.0,,,1862.0,,,,,,,,,,,,,,,,
Prod223_3873,00303601,2024-04-30,html,,2024-04-30,00303601,W.G. Ross & Company Limited,False,16.0,2023-04-30,2023-04-30,159145.0,366438.0,22159.0,388597.0,,,331690.0,490835.0,466855.0,,,1862.0,,,,,,,,,,,,,,,,
Prod223_3873,00312678,2024-04-30,html,,2024-04-30,00312678,ESSEX FLOUR & GRAIN COMPANY LIMITED,False,3.0,2024-04-30,2024-04-30,293970.0,267572.0,6255125.0,6523733.0,,,6236276.0,6530246.0,6530246.0,,,71958.0,,,,,,,,,,,,,,,,
Prod223_3873,00312678,2024-04-30,html,,2024-04-30,00312678,ESSEX FLOUR & GRAIN COMPANY LIMITED,False,3.0,2023-04-30,2023-04-30,305558.0,4384117.0,6078802.0,10572111.0,,,9858289.0,10163847.0,10162792.0,,,71958.0,,,,,,,,,,,,,,,,
Prod223_3873,00324341,2024-04-30,html,,2024-04-30,00324341,Mochdre Garage Limited,False,4.0,2024-04-30,2024-04-30,15030.0,-12190.0,742440.0,950375.0,39001.0,,911374.0,,926404.0,,,,,,,,,,,,,,,,,,,
Prod223_3873,00324341,2024-04-30,html,,2024-04-30,00324341,Mochdre Garage Limited,False,4.0,2023-04-30,2023-04-30,270314.0,619.0,276200.0,488191.0,65050.0,,423141.0,,693455.0,,,,,,,,,,,,,,,,,,,
Prod223_3873,00384768,2024-06-29,html,,2024-06-29,00384768,BARKER & BORLASE LIMITED,False,2.0,2024-06-29,2024-06-29,137872.0,183332.0,,380366.0,,,75718.0,213590.0,-736363.0,,,800.0,,,,,,,,,,,,,,,,
Prod223_3873,00384768,2024-06-29,html,,2024-06-29,00384768,BARKER & BORLASE LIMITED,False,2.0,2023-06-29,2023-06-29,150385.0,124302.0,2815.0,392936.0,,,119395.0,269780.0,-630416.0,,,9896.0,,,,,,,,,,,,,,,,
Prod223_3873,00399155,2024-09-30,html,,2024-09-30,00399155,ELRO PRODUCTS (LANCASTER) LIMITED,False,0.0,2024-09-30,2024-09-30,,,,181582.0,,,176628.0,176628.0,175595.0,,,175595.0,,,,,,,,,,,,,,,,
Prod223_3873,00399155,2024-09-30,html,,2024-09-30,00399155,ELRO PRODUCTS (LANCASTER) LIMITED,False,0.0,2023-09-30,2023-09-30,,,,163652.0,,,155776.0,155776.0,154781.0,,,154781.0,,,,,,,,,,,,,,,,
Prod223_3873,00541954,2024-04-30,html,,2024-04-30,00541954,R.W.H.Properties Limited,False,3.0,2024-04-30,2024-04-30,5460074.0,48777.0,457193.0,505970.0,,,488810.0,5948884.0,5208706.0,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,00541954,2024-04-30,html,,2024-04-30,00541954,R.W.H.Properties Limited,False,3.0,2023-04-30,2023-04-30,5454812.0,17081.0,801568.0,818649.0,,,787356.0,6242168.0,5542811.0,,,100.0,,,,,,,,,,,,,,,,
