run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url
Prod223_3873,00036148,2024-07-31,html,,2024-07-31,00036148,Walsall Business Support Limited,False,4.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,9712.0,,
Prod223_3873,00036148,2024-07-31,html,,2024-07-31,00036148,Walsall Business Support Limited,False,4.0,2022-08-01,2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,420014.0,,
Prod223_3873,00440706,2023-12-31,html,,2023-12-31,00440706,GENERAC GLOBAL UK LIMITED,False,1.0,2022-01-01,2022-12-31,,,,,,,,,,,,,,,,,34000.0,,,,,,200000.0,56000.0,144000.0,,
Prod223_3873,00452971,2024-04-30,html,,2024-04-30,00452971,R. TINCKNELL & SON LIMITED,False,45.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,497246.0,,
Prod223_3873,00559866,2024-07-31,html,,2024-07-31,00559866,E.WILLIAMS (FARMERS) LIMITED,False,2.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,13796.0,,
Prod223_3873,00961158,2024-05-31,html,,2024-05-31,00961158,IFS LIMITED,False,0.0,2023-06-01,2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,61668.0,,
Prod223_3873,01226136,2024-06-30,html,,2024-06-30,01226136,Marlaroy Investments Limited,False,1.0,2023-07-01,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,57251.0,,
Prod223_3873,01338758,2024-06-30,html,,2024-06-30,01338758,WEST ONE BATHROOMS GROUP LIMITED,False,0.0,2023-07-01,2024-06-30,,,,,,,,,,,,,,,16074864.0,,5356559.0,,5097358.0,,,,,438144.0,924544.0,,
Prod223_3873,01338758,2024-06-30,html,,2024-06-30,01338758,WEST ONE BATHROOMS GROUP LIMITED,False,0.0,2022-07-01,2023-06-30,,,,,,,,,,,,,,,18267078.0,,5090106.0,,4582059.0,,,,,501218.0,1284280.0,,
Prod223_3873,01356065,2024-06-30,html,,2024-06-30,01356065,WEST ONE BATHROOMS LIMITED,False,85.0,2023-07-01,2024-06-30,,,,,,,,,,,,,,,15254808.0,,4796498.0,,5097358.0,,,,1448727.0,385000.0,1063727.0,,
Prod223_3873,01356065,2024-06-30,html,,2024-06-30,01356065,WEST ONE BATHROOMS LIMITED,False,85.0,2022-07-01,2023-06-30,,,,,,,,,,,,,,,17500774.0,,4575410.0,,4582059.0,,,,1781541.0,446144.0,1335397.0,,
