shareholder_funds,net_assets_liabilities_including_pension_asset_liability,Cluster
214458.0,2194597.0,0
64970.0,2178717.0,0
22894.0,22894.0,0
22857.0,22857.0,0
1862.0,441807.0,0
1862.0,466855.0,0
71958.0,6530246.0,0
71958.0,10162792.0,0
3.0,3.0,0
3.0,3.0,0
800.0,-736363.0,0
9896.0,-630416.0,0
175595.0,175595.0,0
154781.0,154781.0,0
3889000.0,134708000.0,2
3889000.0,110274000.0,2
1447066.0,20259151.0,0
1447066.0,19979405.0,0
4530.0,1172143.0,0
4530.0,1127301.0,0
12600.0,753036.0,0
12600.0,670705.0,0
100.0,5208706.0,0
100.0,5542811.0,0
100.0,103858.0,0
100.0,138062.0,0
3000.0,433986.0,0
3000.0,460383.0,0
61609.0,61609.0,0
68317.0,68317.0,0
100.0,100.0,0
100.0,100.0,0
1500.0,374463.0,0
1500.0,326593.0,0
3010.0,176680.0,0
3010.0,177593.0,0
5200.0,406135.0,0
5200.0,337120.0,0
17427.0,6562783.0,0
17427.0,6421162.0,0
2000.0,-239.0,0
2000.0,33.0,0
100.0,164016.0,0
100.0,147283.0,0
9001.0,573644.0,0
9001.0,516615.0,0
-1010.0,-1010.0,0
-2962.0,-2962.0,0
102350.0,102350.0,0
117009.0,117009.0,0
98800.0,1918168.0,0
98800.0,1891403.0,0
14500.0,496469.0,0
14500.0,495376.0,0
3155.0,3155.0,0
1852.0,1852.0,0
315.0,13316967.0,0
315.0,13355571.0,0
100.0,2100148.0,0
100.0,2028856.0,0
48718.0,48718.0,0
54476.0,54476.0,0
6000.0,1022620.0,0
6000.0,1021110.0,0
1100.0,-244680.0,0
1100.0,-229083.0,0
11000.0,3130993.0,0
11000.0,3130765.0,0
12000.0,7034043.0,0
12000.0,6355224.0,0
1100.0,2442713.0,0
1100.0,2497098.0,0
41.0,41.0,0
41.0,41.0,0
3000.0,9932248.0,0
3000.0,9976795.0,0
3430.0,763401.0,0
3430.0,643248.0,0
100.0,100.0,0
100.0,100.0,0
1000.0,16769.0,0
1050000.0,18144.0,0
100000.0,12225866.0,0
100000.0,11892128.0,0
12.0,4496125.0,0
12.0,5295669.0,0
1564638.0,1564638.0,0
1565318.0,1565318.0,0
1200.0,343799.0,0
1200.0,366548.0,0
400.0,3585277.0,0
400.0,3538417.0,0
16350.0,2586036.0,0
16350.0,2379167.0,0
96.0,96.0,0
96.0,96.0,0
2.0,2.0,0
2.0,2.0,0
11178.0,8573.0,0
11178.0,9829.0,0
1000.0,834584.0,0
1000.0,772110.0,0
50400.0,56361.0,0
50400.0,54936.0,0
74416.0,74416.0,0
84927.0,84927.0,0
20000.0,33602.0,0
20000.0,37763.0,0
221534.0,221534.0,0
222732.0,222732.0,0
100.0,239660.0,0
100.0,275260.0,0
1000.0,527831.0,0
1000.0,560364.0,0
20000.0,930114.0,0
20000.0,923669.0,0
578292.0,578292.0,0
498536.0,498536.0,0
9500.0,232673.0,0
9500.0,173151.0,0
30000.0,3268071.0,0
30000.0,3101140.0,0
2040.0,12192704.0,0
2040.0,11156849.0,0
586047.0,586047.0,0
578194.0,578194.0,0
1100.0,1945488.0,0
1100.0,2115902.0,0
937.0,937.0,0
937.0,937.0,0
2400000.0,3026475.0,0
2400000.0,3171646.0,0
2.0,1069253.0,0
2.0,874203.0,0
100.0,260097.0,0
100.0,618936.0,0
2.0,214988.0,0
2.0,268492.0,0
378163.0,378163.0,0
367556.0,367556.0,0
1154745.0,1154745.0,0
1136414.0,1136414.0,0
548449.0,548449.0,0
560216.0,560216.0,0
8.0,8.0,0
8.0,8.0,0
100.0,1108378.0,0
100.0,1107105.0,0
1000.0,-937414.0,0
1000.0,-449285.0,0
100.0,2213379.0,0
100.0,2054987.0,0
1810.0,1810.0,0
1810.0,1810.0,0
5209.0,5209.0,0
2217.0,2217.0,0
8724.0,8724.0,0
8724.0,8724.0,0
415425.0,415425.0,0
415425.0,415425.0,0
6910.0,6910.0,0
6910.0,6910.0,0
4.0,4.0,0
4.0,4.0,0
100.0,142517.0,0
100.0,142517.0,0
99.0,108511.0,0
99.0,87367.0,0
12546.0,973441.0,0
12546.0,916431.0,0
2.0,2.0,0
2.0,2.0,0
1140950.0,1140950.0,0
1178304.0,1178304.0,0
54.0,54.0,0
54.0,54.0,0
200.0,77563.0,0
200.0,74984.0,0
5100.0,819527.0,0
5100.0,862371.0,0
4.0,4946103.0,0
4.0,4531879.0,0
70000.0,1360720.0,0
70000.0,1376409.0,0
100.0,6378274.0,0
100.0,5883406.0,0
20000.0,930979.0,0
20000.0,953541.0,0
150.0,150.0,0
150.0,150.0,0
52.0,52.0,0
52.0,52.0,0
2.0,-5.0,0
2.0,40.0,0
100.0,-27264.0,0
100.0,-8887.0,0
0.0,0.0,0
0.0,0.0,0
121079.0,121079.0,0
111912.0,111912.0,0
2.0,106125.0,0
2.0,202599.0,0
200000.0,1318907.0,0
200000.0,1410076.0,0
119881.0,119881.0,0
119881.0,119881.0,0
10000.0,199061.0,0
10000.0,244199.0,0
1000.0,633258.0,0
1000.0,627773.0,0
1.0,1.0,0
1.0,1.0,0
108938.0,108938.0,0
102587.0,102587.0,0
50045.0,50045.0,0
2.0,141117.0,0
2.0,129176.0,0
2.0,600776.0,0
2.0,616668.0,0
4.0,4.0,0
4.0,4.0,0
30000.0,624776.0,0
30000.0,593239.0,0
32245.0,32245.0,0
47017.0,47017.0,0
1000.0,6111535.0,0
1000.0,6119325.0,0
0.0,0.0,0
0.0,0.0,0
3.0,407394.0,0
3.0,419783.0,0
100.0,1420665.0,0
100.0,1082785.0,0
100.0,367507.0,0
100.0,272639.0,0
1000.0,7130836.0,0
1000.0,7209306.0,0
25000.0,9294171.0,0
25000.0,9211635.0,0
50.0,242990.0,0
50.0,153419.0,0
100.0,100.0,0
100.0,100.0,0
100.0,1184410.0,0
100.0,998774.0,0
100.0,55628.0,0
100.0,101984.0,0
11262.0,11262.0,0
11196.0,11196.0,0
19131.0,19131.0,0
26131.0,26131.0,0
0.0,0.0,0
0.0,0.0,0
8.0,8.0,0
8.0,8.0,0
3988.0,3988.0,0
3988.0,3988.0,0
1690.0,1690.0,0
1987.0,1987.0,0
2.0,2.0,0
2.0,2.0,0
463459.0,463459.0,0
433315.0,433315.0,0
53.0,-51453.0,0
53.0,-40117.0,0
100000.0,669445.0,0
100000.0,875962.0,0
601200.0,767613.0,0
601200.0,767613.0,0
547.0,547.0,0
13665.0,13665.0,0
2.0,2.0,0
2.0,2.0,0
1232.0,1232.0,0
1163.0,1163.0,0
15001.0,1383506.0,0
15001.0,1266558.0,0
2.0,2.0,0
2.0,2.0,0
100.0,180875.0,0
100.0,145704.0,0
2.0,2.0,0
2.0,2.0,0
30000.0,1248220.0,0
30000.0,1112925.0,0
2.0,2.0,0
2.0,2.0,0
-98162.0,-98162.0,0
-77416.0,-77416.0,0
73949.0,73949.0,0
79054.0,79054.0,0
134532.0,134532.0,0
165190.0,165190.0,0
3093535.0,3093535.0,0
2758710.0,2758710.0,0
4585.0,4585.0,0
4000.0,4000.0,0
1000.0,24703.0,0
1000.0,38437.0,0
2.0,1174760.0,0
2.0,1008394.0,0
100.0,123462.0,0
100.0,154448.0,0
4.0,4861.0,0
4.0,4577.0,0
100.0,2233450.0,0
100.0,2103599.0,0
123832.0,123832.0,0
118783.0,118783.0,0
200.0,138620.0,0
200.0,299147.0,0
3382.0,3382.0,0
4228.0,4228.0,0
36785.0,36785.0,0
36521.0,36521.0,0
12490.0,12490.0,0
29460.0,29460.0,0
16464.0,16464.0,0
14696.0,14696.0,0
5857.0,5857.0,0
5838.0,5838.0,0
9347.0,9347.0,0
6613.0,6613.0,0
32.0,32.0,0
32.0,32.0,0
101.0,101.0,0
16461.0,16461.0,0
100.0,831860.0,0
100.0,831574.0,0
85.0,7201128.0,0
85.0,6299100.0,0
100.0,-61427.0,0
100.0,-46821.0,0
3.0,3.0,0
3.0,3.0,0
195690.0,195690.0,0
217292.0,217292.0,0
9.0,-197.0,0
9.0,-197.0,0
5000.0,7656738.0,0
7559144.0,7564144.0,0
